,overall,team.name,team.market,team.alias,prospect.first_name,prospect.last_name,prospect.name,prospect.position,prospect.height,prospect.weight,prospect.experience,prospect.team_name
0,1,Pelicans,New Orleans,NOP,Zion,Williamson,Zion Williamson,F,79,285,FR,NONE
1,2,Grizzlies,Memphis,MEM,Ja,Morant,Ja Morant,G,75,175,SO,NONE
2,3,Knicks,New York,NYK,R.J.,Barrett,R.J. Barrett,F,79,202,FR,NONE
3,4,Lakers,Los Angeles,LAL,De'Andre,Hunter,De'Andre Hunter,G,79,225,SO,NONE
4,5,Cavaliers,Cleveland,CLE,Darius,Garland,Darius Garland,G,74,175,FR,NONE
5,6,Suns,Phoenix,PHX,Jarrett,Culver,Jarrett Culver,G,77,195,SO,NONE
6,7,Bulls,Chicago,CHI,Coby,White,Coby White,G,77,185,FR,NONE
7,8,Hawks,Atlanta,ATL,Jaxson,Hayes,Jaxson Hayes,F,83,220,FR,NONE
8,9,Wizards,Washington,WAS,Rui,Hachimura,Rui Hachimura,F,80,230,JR,NONE
9,10,Hawks,Atlanta,ATL,Cam,Reddish,Cam Reddish,F,80,218,FR,NONE
10,11,Timberwolves,Minnesota,MIN,Cameron,Johnson,Cameron Johnson,G,81,210,GR,NONE
11,12,Hornets,Charlotte,CHA,PJ,Washington,PJ Washington,F,80,228,SO,NONE
12,13,Heat,Miami,MIA,Tyler,Herro,Tyler Herro,G,77,195,FR,NONE
13,14,Celtics,Boston,BOS,Romeo,Langford,Romeo Langford,G,78,215,FR,NONE
14,15,Pistons,Detroit,DET,Sekou,Doumbouya,Sekou Doumboya,F,81,231,NONE,Limoges CSP
15,16,Magic,Orlando,ORL,Chuma,Okeke,Chuma Okeke,F,80,230,SO,NONE
16,17,Nets,Brooklyn,BKN,Nickeil,Alexander-Walker,Nickeil Alexander-Walker,G,77,205,SO,NONE
17,18,Pacers,Indiana,IND,Goga,Bitadze,Goga Bitadze,C,83,251,NONE,Buducnost
18,19,Spurs,San Antonio,SAS,Luka,Samanic,Luka Samanic,F,83,209,NONE,Petrol Olimpija
19,20,Celtics,Boston,BOS,Matisse,Thybulle,Matisse Thybulle,G,77,200,SR,NONE
20,21,Thunder,Oklahoma City,OKC,Brandon,Clarke,Brandon Clarke,F,80,215,JR,NONE
21,22,Celtics,Boston,BOS,Grant,Williams,Grant Williams,F,79,236,JR,NONE
22,23,Thunder,Oklahoma City,OKC,Darius,Bazley,Darius Bazley,F,81,200,NONE,Princeton High School
23,24,76ers,Philadelphia,PHI,Ty,Jerome,Ty Jerome,G,77,195,JR,NONE
24,25,Trail Blazers,Portland,POR,Nassir,Little,Nassir Little,F,78,220,FR,NONE
25,26,Cavaliers,Cleveland,CLE,Dylan,Windler,Dylan Windler,G-F,80,200,SR,NONE
26,27,Nets,Brooklyn,BKN,Mfiondu,Kabengele,Mfiondu Kabengele,F,82,250,SO,NONE
27,28,Warriors,Golden State,GSW,Jordan,Poole,Jordan Poole,G,77,195,SO,NONE
28,29,Spurs,San Antonio,SAS,Keldon,Johnson,Keldon Johnson,G,78,211,FR,NONE
29,30,Bucks,Milwaukee,MIL,Kevin,Porter,Kevin Porter Jr.,G,78,175,FR,NONE
30,31,Nets,Brooklyn,BKN,Nicolas,Claxton,Nicolas Claxton,F,83,220,SO,NONE
31,32,Pacers,Indiana,IND,KZ,Okpala,KZ Okpala,F,81,215,SO,NONE
32,33,76ers,Philadelphia,PHI,Carsen,Edwards,Carsen Edwards,G,73,200,JR,NONE
33,34,76ers,Philadelphia,PHI,Bruno,Fernando,Bruno Fernando,F,82,240,SO,NONE
34,35,Hawks,Atlanta,ATL,Marcos,Louzada Silva,Marcos Louzada Silva,G,77,185,NONE,Franca
35,36,Hornets,Charlotte,CHA,Cody,Martin,Cody Martin,G,79,200,SR,NONE
36,37,Mavericks,Dallas,DAL,Deividas,Sirvydis,Deividas Sirvydis,G,80,190,NONE,Rytas Vilnius
37,38,Bulls,Chicago,CHI,Daniel,Gafford,Daniel Gafford,F,83,233,SO,NONE
38,39,Pelicans,New Orleans,NOP,Alen,Smailagic,Alen,F,82,215,NONE,Santa Cruz Warriors
39,40,Kings,Sacramento,SAC,Justin,James,Justin James,G,79,190,SR,NONE
40,41,Warriors,Golden State,GSW,Eric,Paschall,Eric Paschall,F,80,255,SR,NONE
41,42,76ers,Philadelphia,PHI,Admiral,Schofield,Admiral Schofield,G,78,241,SR,NONE
42,43,Timberwolves,Minnesota,MIN,Jaylen,Nowell,Jaylen Nowell,G,76,200,SO,NONE
43,44,Heat,Miami,MIA,Bol,Bol,Bol Bol,C,86,230,FR,NONE
44,45,Pistons,Detroit,DET,Isaiah,Roby,Isaiah Roby,F,80,230,JR,NONE
45,46,Magic,Orlando,ORL,Talen,Horton-Tucker,Talen Horton-Tucker,G,76,233,FR,NONE
46,47,Kings,Sacramento,SAC,Ignas,Brazdeikis,Ignas Brazdeikis,F,79,215,FR,NONE
47,48,Clippers,Los Angeles,LAC,Terance,Mann,Terance Mann,G,79,215,SR,NONE
48,49,Spurs,San Antonio,SAS,Quinndary,Weatherspoon,Quinndary Weatherspoon,G,76,205,SR,NONE
49,50,Pacers,Indiana,IND,Jarrell,Brantley,Jarrell Brantley,F,79,255,SR,NONE
50,51,Celtics,Boston,BOS,Tremont,Waters,Tremont Waters,G,71,175,SO,NONE
51,52,Hornets,Charlotte,CHA,Jalen,McDaniels,Jalen McDaniels,F,82,195,SO,NONE
52,53,Jazz,Utah,UTA,Justin,Wright-Foreman,Justin Wright-Foreman,G,74,190,SR,NONE
53,54,76ers,Philadelphia,PHI,Marial,Shayok,Marial Shayok,G,78,198,SR,NONE
54,55,Knicks,New York,NYK,Kyle,Guy,Kyle Guy,G,74,175,JR,NONE
55,56,Clippers,Los Angeles,LAC,Jaylen,Hands,Jaylen Hands,G,75,180,SO,NONE
56,57,Pelicans,New Orleans,NOP,Jordan,Bone,Jordan Bone,G,75,180,JR,NONE
57,58,Warriors,Golden State,GSW,Miye,Oni,Miye Oni,G,78,210,JR,NONE
58,59,Raptors,Toronto,TOR,Dewan,Hernandez,Dewan Hernandez,F,83,235,JR,NONE
59,60,Kings,Sacramento,SAC,Vanja,Marinkovic,Vanja Marinkovic,G,78,190,NONE,Partizan
60,1,Timberwolves,Minnesota,MIN,Anthony,Edwards,Anthony Edwards,G,77,225,FR,Georgia
61,2,Warriors,Golden State,GSW,James,Wiseman,James Wiseman,C,85,240,FR,NONE
62,3,Hornets,Charlotte,CHA,LaMelo,Ball,LaMelo Ball,G,79,181,NONE,Illawarra Hawks
63,4,Bulls,Chicago,CHI,Patrick,Williams,Patrick Williams,F,80,215,FR,Florida State
64,5,Cavaliers,Cleveland,CLE,Isaac,Okoro,Isaac Okoro,F,78,225,FR,Auburn
65,6,Hawks,Atlanta,ATL,Onyeka,Okongwu,Onyeka Okongwu,F,81,245,FR,USC
66,7,Pistons,Detroit,DET,Killian,Hayes,Killian Hayes,G,77,216,NONE,ratiopharm Ulm
67,8,Knicks,New York,NYK,Obi,Toppin,Obi Toppin,F,81,220,SO,Dayton
68,9,Wizards,Washington,WAS,Deni,Avdija,Deni Avdija,F,81,220,NONE,Maccabi Tel Aviv
69,10,Suns,Phoenix,PHX,Jalen,Smith,Jalen Smith,F,82,225,SO,Maryland
70,11,Spurs,San Antonio,SAS,Devin,Vassell,Devin Vassell,G-F,78,180,SO,Florida State
71,12,Kings,Sacramento,SAC,Tyrese,Haliburton,Tyrese Haliburton,G,77,175,SO,Iowa State
