,Player,Game,Games Started,Minutes Played,Field Goals,Field Goals Attempted,Three Point Field Goals,Three Pointers Attempted,Two Point Field Goals,Two Pointers Attempted,Free Throws Made,Free Throws Attempted,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
0,A.J. Green,35,1,345,53,125,44,105,9,20,4,4,6,39,45,22,6,0,9,31,154
1,A.J. Hammons,22,0,163,17,42,5,10,12,32,9,20,8,28,36,4,1,13,10,21,48
2,A.J. Lawson,30,0,216,44,88,20,50,24,38,4,16,12,30,42,4,4,0,6,22,112
3,A.J. Price,287,25,4253,600,1581,233,747,367,834,223,303,74,335,409,613,132,9,243,252,1656
4,AJ Griffin,72,12,1401,248,533,101,259,147,274,42,47,37,116,153,73,42,12,42,87,639
5,Aaron Brooks,698,192,14671,2448,5954,887,2418,1561,3536,973,1161,284,880,1164,2180,416,100,1114,1351,6756
6,Aaron Gordon,646,557,18716,3265,6923,706,2168,2559,4755,1378,2015,1082,2958,4040,1677,476,420,987,1271,8614
7,Aaron Gray,270,74,3189,325,636,0,2,325,634,127,221,364,655,1019,164,78,72,217,544,777
8,Aaron Harrison,35,3,343,24,92,12,55,12,37,19,31,8,34,42,16,15,2,7,39,79
9,Aaron Henry,6,0,17,1,5,0,1,1,4,0,0,0,1,1,0,0,2,2,2,2
10,Aaron Holiday,371,77,6326,902,2157,311,824,591,1333,328,388,115,515,630,830,243,72,364,548,2443
11,Aaron Jackson,1,0,35,3,9,1,4,2,5,1,2,2,1,3,1,0,0,1,4,8
12,Aaron Nesmith,171,64,3059,402,950,186,537,216,413,162,196,105,388,493,143,90,48,129,392,1152
13,Aaron Wiggins,120,49,2506,342,700,90,260,252,440,121,156,119,269,388,148,69,25,109,203,895
14,Abdel Nader,202,8,2583,333,778,125,350,208,428,135,188,52,324,376,110,76,55,133,245,926
15,Acie Law,154,2,1920,232,522,22,104,210,418,170,226,30,130,160,220,86,2,120,154,656
16,Adam Mokoka,25,0,168,19,47,7,25,12,22,2,5,8,7,15,9,6,1,7,22,47
17,Adam Morrison,31,0,241,32,85,5,21,27,64,5,8,10,22,32,18,3,2,10,17,74
18,Ade Murkey,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Admiral Schofield,108,3,1288,144,343,69,214,75,129,43,53,47,151,198,71,20,14,44,169,400
20,Adonis Thomas,12,2,74,12,28,2,10,10,18,2,2,0,6,6,6,0,0,2,12,28
21,Adreian Payne,139,46,2142,265,649,16,68,249,581,96,143,127,350,477,96,64,36,134,291,642
22,Ahmad Caver,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
23,Al Harrington,253,19,6251,1176,2742,400,1170,776,1572,475,649,257,977,1234,337,177,49,391,682,3227
24,Al Horford,865,859,27737,5008,9758,754,2011,4254,7747,1241,1619,1615,5137,6752,3046,679,1016,1235,1785,12011
25,Al Jefferson,584,451,17112,4118,8298,8,49,4110,8249,1171,1623,1121,3743,4864,1009,415,684,688,1391,9415
26,Al Thornton,292,138,6924,1050,2214,30,114,1020,2100,526,706,344,670,1014,304,160,94,332,698,2656
27,Al-Farouq Aminu,734,459,18132,1986,4740,551,1671,1435,3069,929,1243,1004,3386,4390,910,697,406,891,1331,5452
28,Alan Anderson,277,59,5973,731,1822,302,885,429,937,352,431,117,495,612,318,164,27,236,521,2116
29,Alan Williams,67,0,872,163,322,0,2,163,320,87,139,115,256,371,39,37,38,51,155,413
30,Alando Tucker,30,0,192,34,78,2,14,32,64,32,42,12,8,20,8,0,0,10,12,102
31,Alec Burks,806,186,18630,2944,7043,940,2457,2004,4586,2027,2499,467,2418,2885,1695,577,178,982,1501,8855
32,Alec Peters,20,0,225,28,74,18,58,10,16,8,10,8,29,37,12,2,2,4,13,82
33,Aleem Ford,5,0,74,6,20,2,15,4,5,0,0,2,13,15,2,1,0,4,7,14
34,Aleksej Pokusevski,140,65,3024,433,1113,153,508,280,605,88,127,148,541,689,292,79,123,236,204,1107
35,Alen Smailagić,29,1,223,31,67,7,23,24,44,18,25,16,27,43,17,6,9,16,25,87
36,Alex Caruso,292,73,6206,612,1427,229,627,383,800,307,410,158,611,769,794,350,113,347,577,1760
37,Alex Kirk,5,0,14,1,4,0,0,1,4,2,2,1,0,1,1,0,0,0,1,4
38,Alex Len,715,291,12879,2046,3944,134,420,1912,3524,1049,1550,1280,2702,3982,600,271,673,801,1747,5275
39,Alex Poythress,52,2,566,76,161,19,53,57,108,26,39,47,75,122,24,10,13,18,77,197
40,Alex Stepheson,16,0,146,18,54,0,0,18,54,8,24,38,18,56,4,2,10,0,24,44
41,Alexey Shved,224,34,4038,578,1542,209,668,369,874,418,540,108,346,454,566,140,55,291,249,1783
42,Alexis Ajinça,296,74,4063,679,1347,24,74,655,1273,244,305,354,844,1198,150,106,194,255,700,1626
43,Alfonzo McKinnie,182,9,2113,287,615,84,258,203,357,63,108,154,300,454,57,51,27,71,266,721
44,Alize Johnson,99,1,735,93,197,5,26,88,171,39,57,105,184,289,41,20,10,44,74,230
45,Allen Crabbe,418,114,9778,1289,3065,653,1715,636,1350,394,476,120,1030,1150,467,238,108,302,811,3625
46,Allen Iverson*,56,48,1730,272,632,18,50,254,582,208,262,32,126,158,226,38,4,128,96,770
47,Allonzo Trier,88,4,1750,283,624,71,185,212,439,213,266,37,189,226,147,31,18,138,146,850
48,Alondes Williams,1,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0
